0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
52.3Mbits/sec,58.9Mbits/sec,61.0Mbits/sec,61.5Mbits/sec,62.7Mbits/sec,63.3Mbits/sec,63.5Mbits/sec,63.4Mbits/sec,64.1Mbits/sec,64.0Mbits/sec
52.9Mbits/sec,58.2Mbits/sec,61.1Mbits/sec,61.8Mbits/sec,62.8Mbits/sec,63.9Mbits/sec,65.7Mbits/sec,66.2Mbits/sec,65.6Mbits/sec,65.8Mbits/sec
52.8Mbits/sec,58.5Mbits/sec,60.1Mbits/sec,62.0Mbits/sec,55.8Mbits/sec,56.7Mbits/sec,57.1Mbits/sec,57.0Mbits/sec,57.8Mbits/sec,57.7Mbits/sec
64.3Mbits/sec,65.4Mbits/sec,61.1Mbits/sec,59.9Mbits/sec,60.9Mbits/sec,61.1Mbits/sec,63.4Mbits/sec,64.5Mbits/sec,63.8Mbits/sec,63.4Mbits/sec
65.0Mbits/sec,65.0Mbits/sec,64.5Mbits/sec,64.8Mbits/sec,61.8Mbits/sec,64.7Mbits/sec,63.8Mbits/sec,64.1Mbits/sec,64.4Mbits/sec,63.6Mbits/sec
57.0Mbits/sec,60.6Mbits/sec,62.0Mbits/sec,63.5Mbits/sec,56.9Mbits/sec,56.7Mbits/sec,57.5Mbits/sec,57.1Mbits/sec,58.0Mbits/sec,58.2Mbits/sec
66.4Mbits/sec,64.8Mbits/sec,65.5Mbits/sec,65.7Mbits/sec,59.1Mbits/sec,59.3Mbits/sec,59.5Mbits/sec,59.1Mbits/sec,64.0Mbits/sec,65.0Mbits/sec
65.9Mbits/sec,65.6Mbits/sec,66.1Mbits/sec,63.9Mbits/sec,60.0Mbits/sec,58.1Mbits/sec,61.7Mbits/sec,65.5Mbits/sec,64.0Mbits/sec,64.1Mbits/sec
55.9Mbits/sec,59.8Mbits/sec,61.5Mbits/sec,61.4Mbits/sec,56.6Mbits/sec,56.8Mbits/sec,56.4Mbits/sec,57.6Mbits/sec,57.4Mbits/sec,56.7Mbits/sec
64.4Mbits/sec,62.6Mbits/sec,63.2Mbits/sec,63.1Mbits/sec,62.0Mbits/sec,63.6Mbits/sec,62.7Mbits/sec,63.6Mbits/sec,62.3Mbits/sec,59.3Mbits/sec
64.2Mbits/sec,60.8Mbits/sec,63.1Mbits/sec,64.3Mbits/sec,64.7Mbits/sec,65.4Mbits/sec,65.6Mbits/sec,62.6Mbits/sec,59.9Mbits/sec,60.0Mbits/sec
65.2Mbits/sec,65.3Mbits/sec,64.1Mbits/sec,64.7Mbits/sec,59.4Mbits/sec,59.4Mbits/sec,59.2Mbits/sec,59.1Mbits/sec,58.9Mbits/sec,59.2Mbits/sec
57.8Mbits/sec,63.4Mbits/sec,58.3Mbits/sec,61.5Mbits/sec,64.8Mbits/sec,65.5Mbits/sec,64.2Mbits/sec,63.2Mbits/sec,66.4Mbits/sec,63.1Mbits/sec
54.3Mbits/sec,56.0Mbits/sec,58.0Mbits/sec,59.7Mbits/sec,60.7Mbits/sec,61.2Mbits/sec,62.4Mbits/sec,62.3Mbits/sec,64.4Mbits/sec,64.6Mbits/sec
58.2Mbits/sec,59.2Mbits/sec,62.1Mbits/sec,58.6Mbits/sec,54.3Mbits/sec,52.3Mbits/sec,53.4Mbits/sec,54.9Mbits/sec,52.9Mbits/sec,56.2Mbits/sec
